fixed_acidity,residual_sugar,free_sulfur_dioxide,density,alcohol,quality
6.2,1.7,15.0,0.9969,9.3,1
7.6,2.2,7.0,0.9964,9.7,1
7.4,2.2,12.0,0.9959,9.2,1
11.6,2.2,10.0,1.0008,9.0,0
9.4,2.8,6.0,0.9964,10.5,2
10.4,2.1,5.0,0.9994,8.4,0
8.9,7.9,30.0,0.9998,9.3,1
9.6,2.3,28.0,0.9997,9.7,1
9.5,2.3,21.0,0.9992,9.5,1
9.9,2.3,16.0,0.9991,9.4,MEedium
13.3,1.9,15.0,1.0004,9.0,1
7.4,4.25,5.0,0.9966,10.7,0
9.0,2.8,21.0,0.9984,9.4,1
9.9,2.6,21.0,0.998,9.8,1
9.5,2.3,12.0,0.9982,9.6,1
7.8,3.5,34.0,0.99417,12.7,2
10.4,1.5,34.0,0.99832,9.9,0
8.3,3.4,6.0,0.99892,11.0,LOW
9.2,3.0,15.0,0.998,9.5,1
7.6,2.1,5.0,0.99476,10.9,0
6.8,1.2,16.0,0.99471,9.8,0
7.2,1.7,3.0,0.996,10.0,2
7.2,2.0,15.0,0.99472,11.3,2
7.3,2.1,20.0,0.99705,9.7,0
9.9,3.5,48.0,1.00242,8.8,1
7.1,5.7,3.0,0.99808,10.2,0
6.7,1.8,6.0,0.996,9.95,0
6.2,1.2,29.0,0.9892,12.8,2
6.9,5.0,32.0,0.995,9.8,1
5.2,1.4,43.0,0.9894,12.1,2
8.5,16.2,41.0,0.998,9.8,0
5.8,3.5,5.0,0.9913,11.7,0
6.6,5.1,30.0,0.994375,9.0,1
9.1,1.6,34.0,0.9968,8.5,0
6.4,4.8,34.0,0.9912,12.5,  high
7.1,11.0,16.0,0.9937,11.5,0
6.9,4.6,5.0,0.9915,12.6,0
7.3,2.1,30.0,0.99085,11.9, Hhigh
10.3,1.4,5.0,0.9939,9.6,0
8.3,3.2,14.0,0.9928,11.5,1
7.9,10.6,33.0,0.9983,9.1,0
7.0,2.2,33.0,0.9928,10.4,2
7.2,7.1,25.0,0.993,11.1,2
8.2,1.0,17.0,0.9906,11.7,2
8.3,1.15,18.0,0.9911,12.4,0
7.5,4.2,36.0,0.991,12.3,2
8.0,8.8,50.0,0.9927,12.7,2
6.8,1.8,34.0,0.99,12.8,2
7.4,5.4,31.0,0.994,11.1,2
8.2,6.8,12.0,0.9944,10.5,2
8.6,15.55,35.5,1.0001,11.0,0
7.5,4.6,8.0,0.9958,9.1,0
6.7,1.55,118.5,0.9949,9.4,0
6.4,1.8,43.0,0.9922,11.0,2
7.1,2.0,146.5,0.9924,11.0,0
8.3,15.0,35.0,1.0001,8.6,1
7.0,6.3,17.0,0.9957,9.6,1
11.8,11.1,15.0,0.9997,9.7,0
6.3,3.5,23.0,0.99018,12.8,2
7.6,1.6,24.0,0.99438,9.8,1
7.6,1.2,5.0,0.99256,10.4,0
7.5,16.9,51.0,0.99944,9.3,1
8.1,5.2,24.0,0.99527,10.3,1
5.9,0.7,5.0,0.98985,10.6,1
7.0,10.05,37.0,0.99352,11.7,2
7.0,10.5,35.0,0.9935,11.6,2
6.4,7.2,15.0,0.993,10.9,2
5.5,14.0,16.0,0.99437,11.5,2
5.8,1.6,38.0,0.98946,12.4,2
6.6,6.9,59.0,0.99594,9.3,1
6.8,7.6,30.0,0.99164,12.5,2
6.1,9.5,38.0,0.995,10.1,0
5.6,0.9,52.0,0.99026,11.2,1
6.7,7.5,39.0,0.99123,12.4,2
6.5,3.6,36.0,0.99026,12.6,2
4.2,5.1,64.0,0.99688,8.0,0
5.6,2.9,21.0,0.98896,12.9,2
6.6,7.0,59.0,0.99558,9.4,1
9.4,8.5,124.0,0.99395,11.0,0
6.1,4.7,56.0,0.99042,12.5,2
6.2,0.7,24.0,0.9916,11.0,0
6.6,6.0,59.0,0.99192,12.1,2
8.0,6.8,13.0,0.99616,10.0,1
6.6,1.1,27.0,0.98884,13.2,2
6.5,4.0,37.0,0.99026,12.6,2
5.4,6.4,20.0,0.98944,13.4,2
7.2,7.2,45.0,0.9955,9.7,1
7.0,4.5,23.0,0.99398,9.0,1
5.8,4.3,46.0,0.98946,13.0,2
4.7,1.0,5.0,0.98722,13.6,1
5.4,2.1,29.0,0.98953,13.4,2
5.5,1.7,22.0,0.99224,10.0,1
6.8,15.1,42.0,0.99705,10.5,0
7.5,9.9,25.0,0.99567,10.9,1
6.5,4.5,16.0,0.9937,9.6,1
6.4,14.7,51.0,0.998275,10.5,1
6.1,2.9,289.0,0.99314,10.5,0
6.4,8.9,52.0,0.99488,9.6,1
6.0,1.1,22.0,0.99266,9.633333333,1
